,episode reward,episode,Method
0,-96.72015978221152,1,IIFDS-DDPG
1,-98.24673475756468,2,IIFDS-DDPG
2,-96.00041808410282,3,IIFDS-DDPG
3,-97.40480661738192,4,IIFDS-DDPG
4,-98.02742116328422,5,IIFDS-DDPG
5,-98.5468632940488,6,IIFDS-DDPG
6,-95.459616973048,7,IIFDS-DDPG
7,-96.87801485392376,8,IIFDS-DDPG
8,-96.17611973450396,9,IIFDS-DDPG
9,-96.10002541374698,10,IIFDS-DDPG
10,-97.21348001444584,11,IIFDS-DDPG
11,-99.67524964975638,12,IIFDS-DDPG
12,-96.5761218782554,13,IIFDS-DDPG
13,-99.35951079032044,14,IIFDS-DDPG
14,-98.93415580536347,15,IIFDS-DDPG
15,-99.54425940546292,16,IIFDS-DDPG
16,-99.54425940546292,17,IIFDS-DDPG
17,-98.69476911092045,18,IIFDS-DDPG
18,-96.17611973450396,19,IIFDS-DDPG
19,-99.67524964975638,20,IIFDS-DDPG
20,-99.72568697020692,21,IIFDS-DDPG
21,-93.04001481136396,22,IIFDS-DDPG
22,-97.60829438879028,23,IIFDS-DDPG
23,-98.69476911092045,24,IIFDS-DDPG
24,-96.31978573268412,25,IIFDS-DDPG
25,-94.07746888901086,26,IIFDS-DDPG
26,-99.79837794009822,27,IIFDS-DDPG
27,-99.72568697020692,28,IIFDS-DDPG
28,-99.35951079032044,29,IIFDS-DDPG
29,-97.40480661738192,30,IIFDS-DDPG
30,-65.96492329411063,31,IIFDS-DDPG
31,-102.14180441526304,32,IIFDS-DDPG
32,-100.76309218300572,33,IIFDS-DDPG
33,-76.08871367388815,34,IIFDS-DDPG
34,-94.0883278037408,35,IIFDS-DDPG
35,-71.3232201868954,36,IIFDS-DDPG
36,-89.52195002621643,37,IIFDS-DDPG
37,-75.71033143763972,38,IIFDS-DDPG
38,-72.64793186771817,39,IIFDS-DDPG
39,-69.42438858022982,40,IIFDS-DDPG
40,-90.14096852962976,41,IIFDS-DDPG
41,-92.47474208489773,42,IIFDS-DDPG
42,-66.15707699862372,43,IIFDS-DDPG
43,-87.90995687045864,44,IIFDS-DDPG
44,-64.94214884561626,45,IIFDS-DDPG
45,-66.0026065319361,46,IIFDS-DDPG
46,-99.87373328464204,47,IIFDS-DDPG
47,-66.00403850150764,48,IIFDS-DDPG
48,-63.878891514830656,49,IIFDS-DDPG
49,-71.7033735440599,50,IIFDS-DDPG
50,-89.73838258852318,51,IIFDS-DDPG
51,-62.92960605802548,52,IIFDS-DDPG
52,-64.12974350773159,53,IIFDS-DDPG
53,-62.888470802836345,54,IIFDS-DDPG
54,-62.79284245758856,55,IIFDS-DDPG
55,-62.78960142873003,56,IIFDS-DDPG
56,-62.31468162898031,57,IIFDS-DDPG
57,-69.28965494937317,58,IIFDS-DDPG
58,-62.032849399260655,59,IIFDS-DDPG
59,-63.04051899517373,60,IIFDS-DDPG
60,-67.13286155078842,61,IIFDS-DDPG
61,-64.28246998151319,62,IIFDS-DDPG
62,-62.55603628412828,63,IIFDS-DDPG
